2026-09-15 16:46:18 [INFO] ▶ 开始每日更新...
2026-09-15 16:46:18 [INFO] ===== 开始每日更新 2026-09-15 =====
2026-09-15 16:46:18 [WARNING] 检测到缺少数据: 2026-09-15
2026-09-15 16:46:18 [INFO] 需要补全数据: ['2026-09-15']
2026-09-15 16:46:18 [INFO] 
==================================================
2026-09-15 16:46:18 [INFO] 开始抓取 2026-09-15 的论文
2026-09-15 16:46:18 [INFO] ==================================================
2026-09-15 16:46:18 [INFO] Step 1: 抓取 PubMed 新论文
2026-09-15 16:46:18 [INFO] 已加载期刊过滤表: 1016 个期刊（IF>=5 + JCR Q1/Q2 + 中科院1/2区，来自 journal_info.tsv）
2026-09-15 16:46:18 [INFO] 已有 807 篇文献记录，不再重复检索
2026-09-15 16:46:18 [INFO] 正在搜索 2026/09/15 的新论文...
2026-09-15 16:46:18 [INFO] 搜索到 67 篇 PMID
2026-09-15 16:46:18 [INFO]   其中新增 67 篇（过滤已有 0 篇）
2026-09-15 16:46:20 [INFO]   内容过滤: 排除 16 篇，保留 51 篇
2026-09-15 16:46:20 [INFO]   期刊过滤: 排除 42 篇，保留 9 篇
2026-09-15 16:46:20 [INFO] 
2026-09-15 16:46:20 [INFO] ================================================================================
2026-09-15 16:46:20 [INFO]   📋 本次搜索论文汇总（共 67 篇）
2026-09-15 16:46:20 [INFO] ================================================================================
2026-09-15 16:46:20 [INFO]   ✅ 已收录 (9 篇):
2026-09-15 16:46:20 [INFO]     [1] PMID 42709801 | Proceedings of the National Academy of Sciences of the United States of America
2026-09-15 16:46:20 [INFO]         A host-encoded prophage targets a Candidate Phyla Radiation bacterium and shapes episymbiotic interactions.
2026-09-15 16:46:20 [INFO]     [2] PMID 42742206 | mBio
2026-09-15 16:46:20 [INFO]         The canine gut microbiome as a translational model for human health and aging.
2026-09-15 16:46:20 [INFO]     [3] PMID 42297323 | Environmental pollution (Barking, Essex : 1987)
2026-09-15 16:46:20 [INFO]         Compound-specific effects of phthalate esters on nitrogen cycling and N2O emissions in paddy soils under contrasting moisture regimes.
2026-09-15 16:46:20 [INFO]     [4] PMID 42119966 | Environmental pollution (Barking, Essex : 1987)
2026-09-15 16:46:20 [INFO]         Metagenomic characterization of bacterial communities on beach macroplastics: Insights into antimicrobial resistance and virulence.
2026-09-15 16:46:20 [INFO]     [5] PMID 42740607 | Gut microbes
2026-09-15 16:46:20 [INFO]         Pangenome analysis reveals both niche-specific "specialists" and microbial "side hustlers" in colorectal cancer microbiomes.
2026-09-15 16:46:20 [INFO]     [6] PMID 42250690 | Environmental pollution (Barking, Essex : 1987)
2026-09-15 16:46:20 [INFO]         Copper-based nanoparticles trigger fitness decline in parasitoid wasps via gut microbiota-induced fatty acid dysregulation.
2026-09-15 16:46:20 [INFO]     [7] PMID 42742234 | mBio
2026-09-15 16:46:20 [INFO]         Fungal-bacterial interactions in the respiratory tract: from microbial interplay to clinical implications.
2026-09-15 16:46:20 [INFO]     [8] PMID 42296782 | International immunopharmacology
2026-09-15 16:46:20 [INFO]         Macrophage plasticity as a therapeutic target in inflammatory bowel disease: Immunomodulatory and regenerative strategies.
2026-09-15 16:46:20 [INFO]     [9] PMID 42742264 | The ISME journal
2026-09-15 16:46:20 [INFO]         Symbiotic interactions and climate change implications of the octocoral microbiome.
2026-09-15 16:46:20 [INFO]   🚫 内容过滤排除 (16 篇):
2026-09-15 16:46:20 [INFO]     [1] PMID 42632242 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Metallic micronutrients mitigate herbicide-microplastic stress on soil microbial functions in cornfields.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [2] PMID 42297324 | Environmental pollution (Barking, Essex : 1987)
2026-09-15 16:46:20 [INFO]         The dissemination of a broad-host-range ARG-carrying plasmid to putative pathogens across agricultural soils.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [3] PMID 42476397 | Environmental research
2026-09-15 16:46:20 [INFO]         Accelerated microbiome reconstruction and soil-like formation in graphite tailings by composite microbial agent CMA.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [4] PMID 42673474 | Proceedings of the National Academy of Sciences of the United States of America
2026-09-15 16:46:20 [INFO]         Evidence for endemism and local adaptation in Antarctic soil bacteria.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [5] PMID 42623872 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         A synthetic microbiome drives a multi-omics response to remediate 1,4-dithiane-contaminated soil and simultaneously suppresses antibiotic resistance genes.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [6] PMID 42603473 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Aerobic biotransformation of 8:2 FTCA in activated sludge: Carbon source dependence and multiple transformation pathways.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: rice
2026-09-15 16:46:20 [INFO]     [7] PMID 42476393 | Environmental research
2026-09-15 16:46:20 [INFO]         Methanotrophs and co-occurring microbial taxa: Genomic potential for carbon, nitrogen, and sulfur cycles in newly formed high-altitude proglacial lakes.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: methane
2026-09-15 16:46:20 [INFO]     [8] PMID 42284942 | Water research
2026-09-15 16:46:20 [INFO]         Ecological risk assessment of 1,4-thioxane and its remediation by a synthetic microbiome based on a sulfur transformation system: From multi-omics to water application.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: remediation
2026-09-15 16:46:20 [INFO]     [9] PMID 42476404 | Environmental research
2026-09-15 16:46:20 [INFO]         Biochar for mitigating the oxytetracycline stress of Nitrite-DAMO system: Microbial metabolic mechanisms and metagenomics research.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: wastewater
2026-09-15 16:46:20 [INFO]     [10] PMID 42372850 | Environmental research
2026-09-15 16:46:20 [INFO]         Root exudates recruit beneficial microbes to promote anammox-driven nitrogen cycling in wetland.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: plant
2026-09-15 16:46:20 [INFO]     [11] PMID 42571835 | Environmental research
2026-09-15 16:46:20 [INFO]         Microbial community structure, function and environmental drivers of the urban soil plastisphere in a typical megacity, China.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [12] PMID 42480833 | Environmental research
2026-09-15 16:46:20 [INFO]         Carbon conversion in sludge fermentation liquid drives exogenous-to-endogenous transition of partial denitrification for integration with anammox.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: wastewater
2026-09-15 16:46:20 [INFO]     [13] PMID 42603474 | Journal of hazardous materials
2026-09-15 16:46:20 [INFO]         Small-sized biodegradable PLA microplastics inhibit plant nitrogen uptake by reshaping soil microbial communities and stimulating microbial metabolism.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: plant
2026-09-15 16:46:20 [INFO]     [14] PMID 42361876 | Environmental research
2026-09-15 16:46:20 [INFO]         Tightened coupling of organic nitrogen and organic carbon synthesis governs integrity of soil organic matter in black soils.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [15] PMID 42264124 | Environmental pollution (Barking, Essex : 1987)
2026-09-15 16:46:20 [INFO]         Integrated physicochemical and microbial analyses reveal redox-driven microbial community structure in a polycyclic aromatic hydrocarbon-polluted subsurface.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: soil
2026-09-15 16:46:20 [INFO]     [16] PMID 42217383 | Water research
2026-09-15 16:46:20 [INFO]         Assimilatory sulfate reduction potential in the plastisphere microbiome is linked to plastic mineralization in sulfur-rich mining-impacted river sediments.
2026-09-15 16:46:20 [INFO]         原因: 内容含排除词: crop
2026-09-15 16:46:20 [INFO]   📵 期刊过滤排除 (42 篇):
2026-09-15 16:46:20 [INFO]     [1] PMID 42134644 | Neuropharmacology
2026-09-15 16:46:20 [INFO]         Antibiotic-mediated gut microbiota depletion partially attenuates methamphetamine-induced reward and linoleic acid metabolic disturbance.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Neuropharmacology
2026-09-15 16:46:20 [INFO]     [2] PMID 42097342 | Journal of ethnopharmacology
2026-09-15 16:46:20 [INFO]         Integrative multi-omics reveals that Pueraria thomsonii Radix alleviates dyslipidemia by remodeling gut microbiota and regulating arachidonic acid metabolism.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of ethnopharmacology
2026-09-15 16:46:20 [INFO]     [3] PMID 42431536 | Environmental research
2026-09-15 16:46:20 [INFO]         Microbiome restructuring by integrated ryegrass and earthworms accelerates 4-nitrophenol bioremediation in soil.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [4] PMID 42128073 | Journal of ethnopharmacology
2026-09-15 16:46:20 [INFO]         Intestinal CncC gene activation mediates the sleep-protective effects of Ziziphus jujuba alcohol extract via the gut-brain axis in Drosophila.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of ethnopharmacology
2026-09-15 16:46:20 [INFO]     [5] PMID 41601294 | Gut and liver
2026-09-15 16:46:20 [INFO]         Sex-Dependent Microbial and Host Profiles Following Fecal Microbiota and Bifidobacterium longum Treatment in Stress-Induced Gut Dysbiosis.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Gut and liver
2026-09-15 16:46:20 [INFO]     [6] PMID 42493079 | Carbohydrate polymers
2026-09-15 16:46:20 [INFO]         Glycosidic linkage-dependent fermentation of polysaccharide mixtures by human gut microbiota in vitro.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Carbohydrate polymers
2026-09-15 16:46:20 [INFO]     [7] PMID 42269462 | Water research
2026-09-15 16:46:20 [INFO]         Nitrate reshapes electron partitioning and Se0 formation during continuous electro-microbial treatment of mixed selenium oxyanions.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Water research
2026-09-15 16:46:20 [INFO]     [8] PMID 41317787 | Journal of molecular biology
2026-09-15 16:46:20 [INFO]         gutSMASH 2.0: Extended Identification of Primary Metabolic Gene Clusters From the Human Gut Microbiota.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Journal of molecular biology
2026-09-15 16:46:20 [INFO]     [9] PMID 42442450 | Environmental research
2026-09-15 16:46:20 [INFO]         Future climate scenarios reduce antibiotic resistome-associated risk but enrich specific soil-borne pathogens.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [10] PMID 42409099 | Environmental research
2026-09-15 16:46:20 [INFO]         Manure-free organic fertilization-derived lignin alters the dissemination of antibiotic resistance genes from soil to the rhizosphere.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [11] PMID 42740691 | Carcinogenesis
2026-09-15 16:46:20 [INFO]         Ultra-Processed Foods and Breast Cancer: Epidemiology, Mechanisms, and Prognostic Implications.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Carcinogenesis
2026-09-15 16:46:20 [INFO]     [12] PMID 42385873 | Environmental research
2026-09-15 16:46:20 [INFO]         Metagenomic insights into microbial responses to soil amendments and oat cultivar identity in saline-alkali soils.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [13] PMID 42407426 | Environmental research
2026-09-15 16:46:20 [INFO]         Process-dependent niches of rpf-harboring microorganisms regulate nitrogen and carbon functional networks in full-scale activated sludge.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [14] PMID 42508556 | Environmental research
2026-09-15 16:46:20 [INFO]         Urea-NaHCO3 co-activated biochar enhances biohydrogen production via microbial community restructuring and metabolic pathway redirection.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [15] PMID 42372852 | Environmental research
2026-09-15 16:46:20 [INFO]         Straw incorporation and strawsphere formation shape the fate of antibiotic-resistant human pathogens in agricultural soil.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
2026-09-15 16:46:20 [INFO]     [16] PMID 42302503 | Water research
2026-09-15 16:46:20 [INFO]         Mesospace-domain biochar regulates electron transfer to enhance elemental sulfur-driven autotrophic denitrification for low-carbon mariculture wastewater treatment.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Water research
2026-09-15 16:46:20 [INFO]     [17] PMID 42251923 | Clinica chimica acta; international journal of clinical chemistry
2026-09-15 16:46:20 [INFO]         Gut microbiome-derived metabolites as predictors of bariatric surgery outcomes.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Clinica chimica acta; international journal of clinical chemistry
2026-09-15 16:46:20 [INFO]     [18] PMID 42742016 | Zhonghua er ke za zhi = Chinese journal of pediatrics
2026-09-15 16:46:20 [INFO]         [Clinical characteristics of intracranial suppurative infections caused by Streptococcus intermedius in 4 children].
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Zhonghua er ke za zhi = Chinese journal of pediatrics
2026-09-15 16:46:20 [INFO]     [19] PMID 42520903 | Environmental research
2026-09-15 16:46:20 [INFO]         Wastewater-based human gut microbiome surveillance links microbial signatures to population health in Ohio communities.
2026-09-15 16:46:20 [INFO]         原因: 期刊不在 journal_info.tsv 中: Environmental research
